Initialization,Activation,Hidden Layers,Cost,Computation Time
uniform_minus_one_one,tanh,2,0.1386333483054243,1.4454078674316406
uniform_minus_one_one,tanh,3,0.11330395008777262,2.186296224594116
uniform_minus_one_one,tanh,1,0.5124179788930651,0.58687424659729
uniform_minus_one_one,tanh,2,0.13105558374721796,1.4460968971252441
uniform_minus_one_one,tanh,3,0.0841623313494843,2.2047340869903564
uniform_minus_one_one,linear,1,0.8562920254660321,0.1786670684814453
uniform_minus_one_one,linear,2,0.8562921301404061,0.503788948059082
uniform_minus_one_one,linear,3,0.8562918123034177,0.8348050117492676
uniform_minus_one_one,linear,1,0.8562920600284495,0.1824028491973877
uniform_minus_one_one,linear,2,0.8562920973213543,0.504641056060791
uniform_minus_one_one,linear,3,0.8562919023296127,0.7631750106811523
uniform_minus_one_one,leaky_relu,1,0.4576713897599043,0.21927189826965332
uniform_minus_one_one,leaky_relu,2,0.1419698130008673,0.6113560199737549
uniform_minus_one_one,leaky_relu,3,0.13519373161279602,1.3721749782562256
uniform_minus_one_one,leaky_relu,1,0.438035419870325,0.3026742935180664
uniform_minus_one_one,leaky_relu,2,0.106449047804949,0.7010707855224609
uniform_minus_one_one,leaky_relu,3,0.06521501961525113,0.9891200065612793
uniform_zero_one,relu,1,0.5421865378286045,0.24186301231384277
uniform_zero_one,relu,2,0.47306439816559426,0.6119430065155029
uniform_zero_one,relu,3,0.6061642511182026,0.9276230335235596
uniform_zero_one,relu,1,0.5367485085128147,0.22450923919677734
uniform_zero_one,relu,2,0.7617185536450913,0.6062138080596924
uniform_zero_one,relu,3,0.622438501182602,0.9230358600616455
uniform_zero_one,sigmoid,1,0.5568905943625011,0.569321870803833
uniform_zero_one,sigmoid,2,0.5810607351947157,1.2758378982543945
uniform_zero_one,sigmoid,3,0.5540016338043027,2.0086560249328613
